2D Navier Stokes Equation Using Finite Volume Method
Solving in parallel mode
No of Processors:	 2 	 X 2 == 	 4
GRID Size:	 64 	 X 64 
Reynolds number of the simulation:100.000000
Iteration no:	89	 Ures: 	6.4265462705e-02	 Vres: 	1.2891661055e+00	 Pres: 	5.8709388162e-01	 
Iteration no:	90	 Ures: 	6.4720442479e-02	 Vres: 	1.2577976400e+00	 Pres: 	5.3472834082e-01	 
Iteration no:	91	 Ures: 	6.4835820277e-02	 Vres: 	1.2270706829e+00	 Pres: 	5.0387637677e-01	 
Iteration no:	92	 Ures: 	6.4608255074e-02	 Vres: 	1.1964162919e+00	 Pres: 	4.9833053176e-01	 
Iteration no:	93	 Ures: 	6.4042142537e-02	 Vres: 	1.1653648497e+00	 Pres: 	5.1820363872e-01	 
Iteration no:	94	 Ures: 	6.3149589585e-02	 Vres: 	1.1335068681e+00	 Pres: 	5.5882549049e-01	 
Iteration no:	95	 Ures: 	6.1949766803e-02	 Vres: 	1.1005886432e+00	 Pres: 	6.1388527028e-01	 
Iteration no:	96	 Ures: 	6.0469298582e-02	 Vres: 	1.0664863002e+00	 Pres: 	6.7704324830e-01	 
Iteration no:	97	 Ures: 	5.8741549819e-02	 Vres: 	1.0312691813e+00	 Pres: 	7.4341130444e-01	 
Iteration no:	98	 Ures: 	5.6807275138e-02	 Vres: 	9.9518028542e-01	 Pres: 	8.0920652787e-01	 
Iteration no:	99	 Ures: 	5.4713814848e-02	 Vres: 	9.5867650540e-01	 Pres: 	8.7171969491e-01	 
Iteration no:	100	 Ures: 	5.2515757867e-02	 Vres: 	9.2240568551e-01	 Pres: 	9.2889750036e-01	 
Iteration no:	101	 Ures: 	5.0273807730e-02	 Vres: 	8.8722541025e-01	 Pres: 	9.7920958021e-01	 
Iteration no:	102	 Ures: 	4.8054872758e-02	 Vres: 	8.5415586750e-01	 Pres: 	1.0215137103e+00	 
Iteration no:	103	 Ures: 	4.5929836919e-02	 Vres: 	8.2436334188e-01	 Pres: 	1.0549288724e+00	 
Iteration no:	104	 Ures: 	4.3971833972e-02	 Vres: 	7.9905386656e-01	 Pres: 	1.0788646534e+00	 
Iteration no:	105	 Ures: 	4.2251558091e-02	 Vres: 	7.7940101942e-01	 Pres: 	1.0928761644e+00	 
Iteration no:	106	 Ures: 	4.0832408964e-02	 Vres: 	7.6636524002e-01	 Pres: 	1.0967764797e+00	 
Iteration no:	107	 Ures: 	3.9763191940e-02	 Vres: 	7.6060169079e-01	 Pres: 	1.0904682985e+00	 
Iteration no:	108	 Ures: 	3.9072010331e-02	 Vres: 	7.6228841302e-01	 Pres: 	1.0740992806e+00	 
Iteration no:	109	 Ures: 	3.8761145505e-02	 Vres: 	7.7114601237e-01	 Pres: 	1.0478749446e+00	 
Iteration no:	110	 Ures: 	3.8806332059e-02	 Vres: 	7.8639858534e-01	 Pres: 	1.0122364037e+00	 
Iteration no:	111	 Ures: 	3.9159790739e-02	 Vres: 	8.0695871368e-01	 Pres: 	9.6766126679e-01	 
Iteration no:	112	 Ures: 	3.9756871402e-02	 Vres: 	8.3147911568e-01	 Pres: 	9.1485349161e-01	 
Iteration no:	113	 Ures: 	4.0523964315e-02	 Vres: 	8.5857877553e-01	 Pres: 	8.5454026108e-01	 
Iteration no:	114	 Ures: 	4.1385687640e-02	 Vres: 	8.8685755678e-01	 Pres: 	7.8767181636e-01	 
Iteration no:	115	 Ures: 	4.2270638916e-02	 Vres: 	9.1506603026e-01	 Pres: 	7.1522743195e-01	 
Iteration no:	116	 Ures: 	4.3114670294e-02	 Vres: 	9.4205169144e-01	 Pres: 	6.3843811570e-01	 
Iteration no:	117	 Ures: 	4.3863070419e-02	 Vres: 	9.6687583977e-01	 Pres: 	5.5863947530e-01	 
Iteration no:	118	 Ures: 	4.4470842528e-02	 Vres: 	9.8872241873e-01	 Pres: 	4.7758851910e-01	 
Iteration no:	119	 Ures: 	4.4903063268e-02	 Vres: 	1.0069897529e+00	 Pres: 	3.9753361940e-01	 
Iteration no:	120	 Ures: 	4.5133998345e-02	 Vres: 	1.0211887810e+00	 Pres: 	3.2201352807e-01	 
Iteration no:	121	 Ures: 	4.5146980546e-02	 Vres: 	1.0310250371e+00	 Pres: 	2.5699112035e-01	 
Iteration no:	122	 Ures: 	4.4933306330e-02	 Vres: 	1.0362978632e+00	 Pres: 	2.1300934424e-01	 
Iteration no:	123	 Ures: 	4.4492140009e-02	 Vres: 	1.0369775924e+00	 Pres: 	2.0297986350e-01	 
Iteration no:	124	 Ures: 	4.3829499612e-02	 Vres: 	1.0331093323e+00	 Pres: 	2.2893755099e-01	 
Iteration no:	125	 Ures: 	4.2958300011e-02	 Vres: 	1.0248862408e+00	 Pres: 	2.7802990729e-01	 
Iteration no:	126	 Ures: 	4.1897495672e-02	 Vres: 	1.0125586305e+00	 Pres: 	3.3716587193e-01	 
Iteration no:	127	 Ures: 	4.0672248395e-02	 Vres: 	9.9650308699e-01	 Pres: 	3.9878121550e-01	 
Iteration no:	128	 Ures: 	3.9313205098e-02	 Vres: 	9.7713670459e-01	 Pres: 	4.5886631090e-01	 
Iteration no:	129	 Ures: 	3.7856694754e-02	 Vres: 	9.5498136427e-01	 Pres: 	5.1520292603e-01	 
Iteration no:	130	 Ures: 	3.6343993701e-02	 Vres: 	9.3058232193e-01	 Pres: 	5.6639119470e-01	 
Iteration no:	131	 Ures: 	3.4821254970e-02	 Vres: 	9.0456637395e-01	 Pres: 	6.1155119573e-01	 
Iteration no:	132	 Ures: 	3.3338297157e-02	 Vres: 	8.7756324706e-01	 Pres: 	6.5004775396e-01	 
Iteration no:	133	 Ures: 	3.1947534577e-02	 Vres: 	8.5025548726e-01	 Pres: 	6.8149746548e-01	 
Iteration no:	134	 Ures: 	3.0701346646e-02	 Vres: 	8.2330032413e-01	 Pres: 	7.0562790163e-01	 
Iteration no:	135	 Ures: 	2.9648985814e-02	 Vres: 	7.9736863749e-01	 Pres: 	7.2234303454e-01	 
Iteration no:	136	 Ures: 	2.8831929962e-02	 Vres: 	7.7306552768e-01	 Pres: 	7.3161674781e-01	 
Iteration no:	137	 Ures: 	2.8279283778e-02	 Vres: 	7.5095776950e-01	 Pres: 	7.3356796992e-01	 
Iteration no:	138	 Ures: 	2.8003477862e-02	 Vres: 	7.3149576460e-01	 Pres: 	7.2836819835e-01	 
Iteration no:	139	 Ures: 	2.7998313433e-02	 Vres: 	7.1503572083e-01	 Pres: 	7.1631451932e-01	 
Iteration no:	140	 Ures: 	2.8239662509e-02	 Vres: 	7.0177411622e-01	 Pres: 	6.9774684475e-01	 
Iteration no:	141	 Ures: 	2.8689064863e-02	 Vres: 	6.9177870900e-01	 Pres: 	6.7311597257e-01	 
